url,domain,annotator_count,annotator1_label,annotator1_score_100,annotator1_notes,annotator1_reviewed_at,annotator1_reviewer,annotator2_label,annotator2_score_100,annotator2_notes,annotator2_reviewed_at,annotator2_reviewer,good_votes,average_votes,poor_votes,consensus_label,consensus_strength,human_disagreement,score_mean,score_std
https://a-un-clic-de-vous.fr/site-vitrine/trelaze/49800,a-un-clic-de-vous.fr,2,POOR,,"le site n'est pas assez optimisé seo et n'apparait pas dans les résultats de recherche avec les mots clés pertinant, la meta description et le titre n'est pas bien optimisé, pas d'avis vérifiable, il y'a des liens cassé 404 sur le site, pas d'articles et site un peu trop minimaliste selon le domaine",2026-08-24T21:02:00+02:00,moctar,GOOD,,"Très jolie site, cependant absence de blogs, manque de CTA sur le hero banner",2026-08-27T23:30:00+02:00,human_2,1,0,1,ABSTAIN,0.5,True,,
https://ada13.org/,ada13.org,1,,,le site est inaccesible donc pas verifiable humainement,2026-08-24T21:02:00+02:00,moctar,AVERAGE,,Page d'accueil pauvre,2026-08-27T23:30:00+02:00,human_2,0,1,0,AVERAGE,1.0,False,,
https://cabinet-3c.com/,cabinet-3c.com,2,AVERAGE,,"le site est moyennement optimisé, les balises Hn sont bien utilisées, la meta description est suffisamment descriptive, le maillage interne est satisfaisant, le nombre de mots par page est approprié, il y'a pas un bon nombre d'articles sur le domaine mais à intervalle de temps irrégulier et le maillage externe est assez faible, les alt et noms d'images ne sont pas bien optimisés, il y'a des google avis et des avis verifiable de vrais clients mais en petit nombre, il y'a des arguments d'autorité (certification, aggrèment ..., pas accès de backlinks et n'est pas bien classés par google dans les résultats de recherche avec les mots clés pertinents du domaine",2026-08-24T21:02:00+02:00,moctar,AVERAGE,,"Site bien, manque backlink et moins fourni en avis client",2026-08-27T23:30:00+02:00,human_2,0,2,0,AVERAGE,1.0,False,,
https://depannage-rideaux-metalliques.fr/,depannage-rideaux-metalliques.fr,2,GOOD,,"site optimisé pour le seo, le site est bien classé avec les mots clés pertinents sur google dans sa zone géographique, la meta description, les balises Hn, le maillage interne et le nombre de mots par page sont bien configurés, les backlinks sont bien établis meme si c'est pas accès selon la concurence, pas accés d'articles sur le domaine à intervalle de temps régulier, images alt a optimiser",2026-08-24T21:02:00+02:00,moctar,GOOD,,Bon site bien fourni et cohérent même si les activités secondaires (vitreries et autres) sont moins optimisées,2026-08-27T23:30:00+02:00,human_2,2,0,0,GOOD,1.0,False,,
https://essence-resilience.coach/,essence-resilience.coach,2,AVERAGE,,"le site est bien structuré, les balises Hn, la meta description le maillage interne et le nombre de mots par page est accèds conséquent, il y'a aussi accès d'articles sur le domaine du site mais le maillage externe n'est pas accès fort, les alt et noms d'images ne sont pas accès optimsés, manque de google avis et d'avis verifiable de vrais clients, manque d'arguments d'autorité certification, aggrèment ...",2026-08-24T21:02:00+02:00,moctar,AVERAGE,,Absence des backlinks qui fait que la note n'est pas Good,2026-08-27T23:30:00+02:00,human_2,0,2,0,AVERAGE,1.0,False,,
https://if-ca.fr/,if-ca.fr,2,AVERAGE,,"le site est assez bien structuré, les balises Hn, la meta description le maillage interne et le nombre de mots par page est accèds conséquent, il n y'a pas aussi d'articles sur le domaine du site mais le maillage externe n'est pas assez fort, les alt et noms d'images ne sont pas assez optimsés, manque de google avis pertinents et d'avis verifiable de vrais clients, presence d'arguments d'autorité (certification, aggrèment , qualiopi, qualianor ..., call to action bien positionné, site assez bien positionné par google sur les résultats de recherche avec les bons mots clés",2026-08-24T21:02:00+02:00,moctar,AVERAGE,,"Absence de backlink, page locale, page secondaire...",2026-08-27T23:30:00+02:00,human_2,0,2,0,AVERAGE,1.0,False,,
https://jeanleptitplombier.com/,jeanleptitplombier.com,2,POOR,," le site est plutot bien structuré, simple et efficace mais un peu trop minimaliste, manque de contenu original et de call to action positionné, nombre de mots sur le landing page est insuffisant, avis manquants, preuves sociales, références et arguments d'autorité manquants, maillage interne et externe à améliorer, pas d'articles sur le domaine, images réels du professionnel présent mais a diversifier et optimiser sur le terrain, adresse mail non professionnelle",2026-08-24T21:02:00+02:00,moctar,AVERAGE,,"Jolie site cependant manque d'avis client, blogs, page locale...",2026-08-27T23:30:00+02:00,human_2,0,1,1,ABSTAIN,0.5,True,,
https://jespomi.com/,jespomi.com,2,AVERAGE,,"le site presente un bon design premium avec des éléments technique de base pour le seo respectés notamment le titre, meta descrition, robots.txt, maillage interne... mais pas accès de maillage externe, et le nombre de Hn par page a verifié, les avis clients sur les pages produits sont presque absents, les images alt des produits ne sont pas optimisées, pas accès d'artcles pour un site pareil ou la concurence est forte",2026-08-24T21:02:00+02:00,moctar,GOOD,,"Design et UX agréable, contenu et position cohérent même s'il manque de backlink consistant",2026-08-27T23:30:00+02:00,human_2,1,1,0,ABSTAIN,0.5,True,,
https://l-artisanat-a-la-francaise.fr/,l-artisanat-a-la-francaise.fr,2,AVERAGE,,"le site est moderne et dynamique, bien structuré avec un menu bien fourni et optimisé, presence d'avis google verifiable, images professionnelles et bonne description, manque d'avis et de commentaires sur les pages produits, bon maillage interne mais pas assez de maillage externe",2026-08-24T21:02:00+02:00,moctar,GOOD,,"Site à fort potentiel, manque un blog et des avis clients venant directement de Google Maps",2026-08-28T10:00:00+02:00,human_2,1,1,0,ABSTAIN,0.5,True,,
https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,2,POOR,,"le site est mal structuré et accès générique, certaines sections manquent d'images ou de textes qui n'apparaissent pas, pas accès de call to action, le titre et la meta description n'est pas optimisée, les images ne sont pas professionnelles parfois flou, il y a des bouts de codes qui apparaissent sur certaines pages, il manque aussi de localisation précise, Certains page ont l'air de ne pas être terminées, les balises Hn sont mal utilisées, la meta description est trop courte, le maillage interne est faible, le nombre de mots par page est insuffisant, il y'a peu d'articles sur le domaine du site et le maillage externe n'est pas accès fort, les alt et noms d'images ne sont pas accès optimsés, manque de google avis et d'avis verifiable de vrais clients, manque d'arguments d'autorité (certification, aggrèment ...",2026-08-24T21:02:00+02:00,moctar,GOOD,,Le site est bien fourni,2026-08-27T23:30:00+02:00,human_2,1,0,1,ABSTAIN,0.5,True,,
https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,2,AVERAGE,,"le site est en sous domaine, les articles qui sont proposés datent de plusieurs années, la stucture est déteriorée et anciens un peu trop générique, par contre il y'a des éléments de contenu intéressant et des commentaires et avis conséquents",2026-08-24T21:02:00+02:00,moctar,POOR,,Site inexistant,2026-08-27T23:30:00+02:00,human_2,0,1,1,ABSTAIN,0.5,True,,
https://trafiq.fr/,trafiq.fr,2,POOR,,"le site est mal structuré et accès générique, les psections sont incomplétes avec manque de vrais images de la team et des témoins, Certains page ont l'air de ne pas été terminées, les balises Hn sont mal utilisées, la meta description est trop courte, le maillage interne est faible, le nombre de mots par page est insuffisant, il y'a peu d'articles sur le domaine du site et le maillage externe n'est pas accès fort, les alt et noms d'images ne sont pas accès optimsés, manque de google avis et d'avis verifiable de vrais clients, manque d'arguments d'autorité (certification, aggrèment ...",2026-08-24T21:02:00+02:00,moctar,POOR,,"Malgré un bon design et cohérence de l'offre, il manque beaucoup de données pourtant primordiales en SEO : blogs, avis clients vérifiables, backlinks, meta description...",2026-08-27T23:30:00+02:00,human_2,0,0,2,POOR,1.0,False,,
https://www.abondance.com/,abondance.com,2,GOOD,,"le site est bien fourni et réguliérement animé avec des balises hn, metadescription, maillage interne et externe, call to action, popup, image alt ... bien établis je noterais 90/100",2026-08-24T21:02:00+02:00,moctar,GOOD,,Très bon site,2026-08-28T10:00:00+02:00,human_2,2,0,0,GOOD,1.0,False,,
https://www.arret-net.fr/,arret-net.fr,2,AVERAGE,,"le site est vieux, pas responsive et ne donne pas envie de commander le service selon le domaine, mais le site est assez fourni avec des call to action pas mal établi et avis google insérés manuellement, les images ne sont pas assez parlant, les balises hn et la metadescription pas bien optimisées",2026-08-24T21:02:00+02:00,moctar,AVERAGE,,"Bon site mais le design est vieux et dépassé, pour quelqu'un qui crée des sites ça n'inspire pas confiance",2026-08-28T10:00:00+02:00,human_2,0,2,0,AVERAGE,1.0,False,,
https://www.lageneraledetheatre.com/,lageneraledetheatre.com,2,POOR,,"le site n'est pas assez informatif et descriptif à l'acceuil, le titre, la metadescription, maillage interne, externe très faible, visuellement pas assez attrayant et captivant, je donnerais une note de 10/100",2026-08-24T21:02:00+02:00,moctar,POOR,,SEO faible voire inexistant,2026-08-28T10:00:00+02:00,human_2,0,0,2,POOR,1.0,False,,
