page_id,url,domain,calibration_group,crawl_quality,human_review_label,review_notes,reviewed_at,reviewer
c8c5f59fd0c4204f,https://essence-resilience.coach/,essence-resilience.coach,known_edited,NORMAL,AVERAGE,"le site est bien structuré, les balises Hn, la meta description le maillage interne et le nombre de mots par page est accèds conséquent, il y'a aussi accès d'articles sur le domaine du site mais le maillage externe n'est pas accès fort, les alt et noms d'images ne sont pas accès optimsés, manque de google avis et d'avis verifiable de vrais clients, manque d'arguments d'autorité certification, aggrèment ...",2026-08-24T21:02:00+02:00,moctar
7abf88539eb352b9,https://jespomi.com/,jespomi.com,known_edited,NORMAL,AVERAGE,"le site presente un bon design premium avec des éléments technique de base pour le seo respectés notamment le titre, meta descrition, robots.txt, maillage interne... mais pas accès de maillage externe, et le nombre de Hn par page a verifié, les avis clients sur les pages produits sont presque absents, les images alt des produits ne sont pas optimisées, pas accès d'artcles pour un site pareil ou la concurence est forte",2026-08-24T21:02:00+02:00,moctar
1e8705bd153e0983,https://trafiq.fr/,trafiq.fr,known_edited,NORMAL,POOR,"le site est mal structuré et accès générique, les psections sont incomplétes avec manque de vrais images de la team et des témoins, Certains page ont l'air de ne pas été terminées, les balises Hn sont mal utilisées, la meta description est trop courte, le maillage interne est faible, le nombre de mots par page est insuffisant, il y'a peu d'articles sur le domaine du site et le maillage externe n'est pas accès fort, les alt et noms d'images ne sont pas accès optimsés, manque de google avis et d'avis verifiable de vrais clients, manque d'arguments d'autorité (certification, aggrèment ...",2026-08-24T21:02:00+02:00,moctar
fe380355d18d93ad,https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,known_edited,NORMAL,POOR,"le site est mal structuré et accès générique, certaines sections manquent d'images ou de textes qui n'apparaissent pas, pas accès de call to action, le titre et la meta description n'est pas optimisée, les images ne sont pas professionnelles parfois flou, il y a des bouts de codes qui apparaissent sur certaines pages, il manque aussi de localisation précise, Certains page ont l'air de ne pas être terminées, les balises Hn sont mal utilisées, la meta description est trop courte, le maillage interne est faible, le nombre de mots par page est insuffisant, il y'a peu d'articles sur le domaine du site et le maillage externe n'est pas accès fort, les alt et noms d'images ne sont pas accès optimsés, manque de google avis et d'avis verifiable de vrais clients, manque d'arguments d'autorité (certification, aggrèment ...",2026-08-24T21:02:00+02:00,moctar
05eacfbd8fe37901,https://depannage-rideaux-metalliques.fr/,depannage-rideaux-metalliques.fr,known_edited,NORMAL,GOOD,"site optimisé pour le seo, le site est bien classé avec les mots clés pertinents sur google dans sa zone géographique, la meta description, les balises Hn, le maillage interne et le nombre de mots par page sont bien configurés, les backlinks sont bien établis meme si c'est pas accès selon la concurence, pas accés d'articles sur le domaine à intervalle de temps régulier, images alt a optimiser",2026-08-24T21:02:00+02:00,moctar
a19ea853b117d2b3,https://cabinet-3c.com/,cabinet-3c.com,known_edited,NORMAL,AVERAGE,"le site est moyennement optimisé, les balises Hn sont bien utilisées, la meta description est suffisamment descriptive, le maillage interne est satisfaisant, le nombre de mots par page est approprié, il y'a pas un bon nombre d'articles sur le domaine mais à intervalle de temps irrégulier et le maillage externe est assez faible, les alt et noms d'images ne sont pas bien optimisés, il y'a des google avis et des avis verifiable de vrais clients mais en petit nombre, il y'a des arguments d'autorité (certification, aggrèment ..., pas accès de backlinks et n'est pas bien classés par google dans les résultats de recherche avec les mots clés pertinents du domaine",2026-08-24T21:02:00+02:00,moctar
b3530bf019393c8c,https://if-ca.fr/,if-ca.fr,known_edited,NORMAL,AVERAGE,"le site est assez bien structuré, les balises Hn, la meta description le maillage interne et le nombre de mots par page est accèds conséquent, il n y'a pas aussi d'articles sur le domaine du site mais le maillage externe n'est pas assez fort, les alt et noms d'images ne sont pas assez optimsés, manque de google avis pertinents et d'avis verifiable de vrais clients, presence d'arguments d'autorité (certification, aggrèment , qualiopi, qualianor ..., call to action bien positionné, site assez bien positionné par google sur les résultats de recherche avec les bons mots clés",2026-08-24T21:02:00+02:00,moctar
ceda02553633033c,https://ada13.org/,ada13.org,poor_candidate,NORMAL,,"le site est inaccesible donc pas verifiable humainement",2026-08-24T21:02:00+02:00,moctar
4b1e290b60ab4f49,https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,poor_candidate,NORMAL,AVERAGE,"le site est en sous domaine, les articles qui sont proposés datent de plusieurs années, la stucture est déteriorée et anciens un peu trop générique, par contre il y'a des éléments de contenu intéressant et des commentaires et avis conséquents",2026-08-24T21:02:00+02:00,moctar
5f96cef86c9446d5,https://jeanleptitplombier.com/,jeanleptitplombier.com,poor_candidate,NORMAL,POOR," le site est plutot bien structuré, simple et efficace mais un peu trop minimaliste, manque de contenu original et de call to action positionné, nombre de mots sur le landing page est insuffisant, avis manquants, preuves sociales, références et arguments d'autorité manquants, maillage interne et externe à améliorer, pas d'articles sur le domaine, images réels du professionnel présent mais a diversifier et optimiser sur le terrain, adresse mail non professionnelle",2026-08-24T21:02:00+02:00,moctar
